category,pat,pat_type,side,ex_left,ex_right,distance,comment
possible,presume|suggest|suspect|suspic|probabl|likel|possib|not definit,wordstart,left,,stopr,40,"e.g. presumed, presumable, presuming, suggestive, suggesting, suggested, ..."
possible,(appears to|might|could|may|unlikely to) (represent|indicate|show|be|reflect),word,left,,stopr,40,
possible,(appears to|might|could|may|unlikely to) be (associated with|related to),word,left,,stopr,40,
possible,(should|might|could|may) be considered as,word,left,,stopr,40,
possible,may or may not,word,left,,stopr,40,
possible,(if it is|if this is),word,left,,stopr,40,
possible,(if),word,left,,stopr,5,
possible,or,word,left,,stopr,5,
possible,(cannot|unable|difficult|not possible|impossible|hard|inadequate) (to) (rule out|exclude),word,left,,stopr,40,
possible,(important|needed|necessary) (to) (rule out|exclude),word,left,,stopr,40,
possible,(prevents|precludes) (ruling out|excluding),word,left,,stopr,40,
stop,(although|apart|aside|but|except|if|however|nevertheless|for|from|still|though|yet|which),word,,,,,"e.g. can limit the scope of 'no' if followed by 'but' in 'no X detected, but Y is present"
stop,(cause|etiology|origin|reason|source) (of|for),word,,,,,"e.g. can nullify the scope of 'no' if followed by 'cause for' in 'no cause identified for tumour"
stop2,(no|not|cannot|without),word,,,,,"e.g. can nullify the scope of 'free of' if preceded by 'not' in 'not free of tumour'"
stop3,(certain|chang|decreas|increas|difficulty|threaten),wordstart,,,,,"e.g. can nullify the scope of 'no' if followed by 'change' in 'no change in tumour'"
stop4,and,word,,,,,
stoph,present,wordstart,,,,,"e.g. helps to apply 'history' for X and not Y in 'history of X, presenting with Y'"
stoph2,(has|have|for),word,,,,,
stopr,(although|apart|aside|but|except|if|however|nevertheless|though|yet|with|and),word,,,,,
present,(new|evident|definite|proven|confirmed),word,right,stopr,,40,
present,(advanced|aggressive|widespread|extreme|marked|differentiated|undifferentiated|avid),word,right,stopr,,40,
present,(adjacent|near|nearby|close|far),word,right,stopr,,40,
present,(extensive|large|big|massive|moderate|average|small|tiny),word,right,stopr,,40,
present,(solitary|multiple|many|numerous|few),word,right,stopr,,40,
present,(centered on|centred on),word,right,stopr,,40,
present,(increas|decreas|reduc|chang|unchang|progress|respon|alter),wordstart,right,stopr,,40,
present,(infiltrat|encompass),wordstart,right,stopr,,40,
present,(is present|is identified|are present|involving|with involvement),wordstart,right,stopr,,40,
present,(cancer|crc|carcinoma|tumou?r|adenocarcinoma|adenoma|dysplasia|myeloma|primary),wordstart,right,stopr,,40,
present,(mass|node|nodul|focus|foci|volume),wordstart,right,stopr,,40,
present,due to,wordstart,right,stopr,,40,
present,(: ?recurrence|metastases to|metastasis to|metastases confine|metastasis confine),wordstart,right,stopr,,40,
present,(colorectal|pelvic|floor|liver|lung),wordstart,right,stopr,,40,
present,(consistent with|compatible with|can confirm|is confirm),wordstart,right,stopr,,40,
present,\d?\d?\d ?(mm|cm),word,right,stopr,,40,
present,(rectal|colorectal|colon|colonic ca),word,right,stopr,,40,
present,(biops|dissect|resect|lesion|lump|lobe|\w*tomy|left|right),wordstart,right,stopr,,10,
present,: yes,word,right,stopr,,10,
present,(label),word,left,,stopr,40,
present,(new|evident|definite|proven|confirmed),word,left,,stopr,40,
present,(advanced|aggressive|widespread|extreme|marked|differentiated|undifferentiated|avid),word,left,,stopr,40,
present,(adjacent|near|nearby|close|far),word,left,,stopr,40,
present,(extensive|large|big|massive|moderate|average|small|tiny),word,left,,stopr,40,
present,(solitary|multiple|many|numerous|few),word,left,,stopr,40,
present,(there is|there are),word,left,,stopr,40,
present,(increas|decreas|reduc|chang|unchang|progress|respon|alter),wordstart,left,,stopr,40,
present,(represent|confirm|indicate|show),wordstart,left,,stopr,40,
present,(infiltrat|encompass),wordstart,left,,stopr,40,
present,(colorectal|mass|cancer|crc|primary|carcinoma|adenocarcinoma|adenoma|dysplasia|myeloma|tumou?r|focus|foci|volume|due to|node|nodal|nodul|areas of|pelvic|floor|liver|lung),wordstart,left,,stopr,40,
present,(consistent with|compatible with|in line with|in keeping with|typical of|confirmation of|with evidence of|with|conclusion|impression),word,left,,stopr,40,
present,\d?\d?\d ?(mm|cm),word,left,,stopr,40,
present,(rectal|colorectal|colon|colonic ca),word,left,,stopr,40,
present,(biops|dissect|resect|lesion|lump|lobe|\w*tomy|left|right),word,left,,stopr,40,
