pat,repl
chnegs|chnagr|chnaged|cvhange|changge|chanbge|vhange|cahnges|chang|changer|cahnge|chenge|chnage|chamnge|chnages|chaneh|cahnged|cange|hange|chonage|chan|changne|changein|changes|cahge|chagne|changew|chanage|chqange|cahneg|chjange|chanhge|chane|chhange|cahne|chage|chantge|chnahge|cahnmge|chaneg|chgange|chagning|chnge|chamge|chsng|chnmage|chag|chagen,change
vairable,variable
iregular|irregualr,irregular
incr|increas|incraesed|increaed,increase
a;tered|aktered|aletered|aletred|alteerd|alterd|alteredd|alterede|alterer|alterled|alterned|alterred|alterted|alteted|altewred|altred|altrered|ltered|alterting,altered
distrubance,disturbance
eratic|erractic|irratic,erratic
inflamamtion|inflam|inflamed|inflamm,inflammation
crohns|chrohns|crhons,crohn
coliits|collitis,colitis
thrombocyutosis|thromocytosis|throbpcytosis,thrombocytosis
raied|rsaised|raisd|rasied|raisied|riased,raise
elavated,elevated
plateletts|platletsl|plates|plastelets|plt|platlets|plate|plat|platele|platelts|pl|plats|plateltes,platelets
fatgiue|fatgue|fatigiue|fatigu|fatiugue|fatuigue|fatig|fatg,fatigue
tirednes,tiredness
tat,tatt
lethagy|letharygy|lethatgy|lethergy|lethargic,lethargy
tenesmsus|tenesumus|tenismus|tensemus|tensmus|tnesmus,tenesmus
ewight|fweight|weeight|wegiht|weigh|weighgt|weights|weightt|weighty|weigt|weigth|weihght|weihgt|weiht|weught|wieght|wight|wwight|weihjt|weitgh|wtg,weight
los|losse|lost|lsos|oss|tloss|loosing|lossing|lsoing|lose|losshl,loss
bloaterd,bloated
bloatring|b;oating|blating|bloatign|bloatimh|bloatin|dbloating|bloaitng|bloatine|bloiating|blosting|bloatig|blaoting,bloating
sistr,sister
fafther,father
paternall,paternal
famil|famioy|nfamily,family
tumr|tomor,tumour
cncer|cacer|cancr,cancer
colorectl|clorectl|colrectal,colorectal
